EmployeeID,Age,AgeGroup,Gender,Department,JobRole,Salary,SalaryGroup,ExperienceYears,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,EmployeeSatisfaction,PerformanceRating,OverTime,DistanceFromHome,Attrition
E1000,58,51+,Male,Research & Development,Sales Executive,103652,High Salary,32,1,5,5,3,1,Yes,9,No
E1001,48,41-50,Female,Sales,HR Specialist,71985,Medium Salary,27,3,5,4,2,4,No,24,No
E1002,34,31-40,Female,Research & Development,Sales Executive,65069,Medium Salary,9,2,1,5,1,4,No,44,No
E1003,27,20-30,Male,Sales,Engineer,67326,Medium Salary,5,2,3,1,2,5,No,14,No
E1004,40,31-40,Male,Research & Development,HR Specialist,96061,High Salary,17,2,2,1,5,2,Yes,46,No
E1005,58,51+,Female,IT,Executive,38398,Low Salary,37,5,1,5,1,5,Yes,8,Yes
E1006,38,31-40,Female,IT,Manager,113393,High Salary,14,5,5,5,2,1,Yes,37,No
E1007,42,41-50,Female,Sales,Executive,65861,Medium Salary,15,5,1,4,2,4,Yes,19,No
E1008,30,20-30,Female,IT,Executive,90897,High Salary,5,4,5,5,4,1,Yes,28,No
E1009,30,20-30,Female,Sales,Manager,96905,High Salary,9,2,4,2,5,1,Yes,46,No
E1010,43,41-50,Male,IT,Manager,83577,High Salary,23,3,5,1,4,2,No,41,Yes
E1011,55,51+,Male,IT,Sales Executive,80641,High Salary,35,5,5,1,1,1,Yes,30,No
E1012,59,51+,Female,Sales,Sales Executive,24078,Low Salary,33,5,5,5,4,4,No,7,No
E1013,43,41-50,Male,Finance,Manager,40003,Medium Salary,16,2,3,3,5,5,Yes,26,Yes
E1014,22,20-30,Male,IT,HR Specialist,77768,Medium Salary,0,5,5,3,3,4,Yes,40,No
E1015,41,41-50,Male,Research & Development,Analyst,66047,Medium Salary,19,4,2,5,3,2,No,46,No
E1016,21,20-30,Female,Finance,Sales Executive,86626,High Salary,0,4,2,2,1,4,Yes,46,No
